	Col-0h	Col-12h	Col-24h	28-0h	28-12h	28-24h	60-0h	60-12h	60-24h
AT5G42580	0.522515618	-0.466326444	0.682887843	1.31104	-1.996256319	-2.874761225	1.03496863	-0.864929159	-2.15858111
AT5G42590	0.8527834	-0.767290512	0.069833247	0.4049832	-1.590740712	-3.039248335	0.231532829	-1.399299243	-2.887032987
AT5G42600	1.566264515	1.199022378	0.787227301	4.331736	-1.566422392	-3.761913175	2.835593892	2.845401178	-7.26746334
AT5G42630	-0.295527643	-0.597665366	0.171930578	-0.3781741	-1.050294306	-0.940938805	-0.549527251	-0.757944949	-0.203088601
AT5G42650	0.426124116	-1.482436986	-0.764297708	0.6233899	-1.290447636	-1.106440202	0.090127419	-1.4992986	-0.868728485
AT5G42750	-0.37887858	-0.38031094	-0.464699467	-0.1733309	-0.895178009	-0.569008789	-0.49645339	-1.220454793	-0.215629775
AT5G42760	0.651266107	-0.71615279	0.739251708	0.5533029	-0.588144966	-0.052354558	0.750963993	-1.060088385	-0.205759294
AT5G42765	0.111074054	-0.348471693	-0.748217122	-0.08558708	-1.015786862	-0.51486937	-0.07950779	-0.813622983	-0.311332829
AT5G42785	-1.265663974	-0.688483287	-0.609422502	-1.501331	-2.43206241	-1.666112378	-1.409402075	-1.368256819	-1.215987884
AT5G42800	0.117006819	-2.730384009	0.994471032	-0.4019211	-3.166682654	0.531816415	-0.367329669	-3.567432985	0.388539124
AT5G42830	-1.459810841	3.430190177	2.651633253	-1.581859	3.242905677	1.900541635	-1.196190569	2.60234618	2.045487291
AT5G42840	-0.040117636	-0.258511796	-0.4658653	-0.1952215	-1.448584768	-1.216657498	-0.456040996	-1.933398149	-0.867244416
AT5G42860	-0.272306922	-0.439759996	-0.433419503	-0.3624633	-1.145553054	-1.032442558	-0.493976468	-1.10872008	-0.91396893
AT5G42900	-0.137303356	-0.276908057	-1.721286427	0.2547342	-0.574332942	-0.121666589	-0.300437095	0.283642724	-0.250525821
AT5G42930	1.961433747	-0.416302897	0.541335514	1.373799	-0.088278697	0.038319662	1.14658434	-0.646039246	-0.211563859
AT5G43040	-0.209881529	-0.714424707	-0.749931736	-0.510002	-1.575816423	-0.850126162	-1.041826824	-1.293677682	-0.610385518
AT5G43120	0.535764868	-1.677005928	-0.126879174	-0.27102	-1.841011988	0.682118891	-0.349765106	-1.612525584	-2.21660851
AT5G43190	-0.133970163	1.117851969	1.224228227	0.1583119	1.176318699	0.96119423	-0.217749393	1.391855581	0.550597745
AT5G43230	-0.792305254	0.137085983	-0.949129695	-1.089865	-2.369304473	-2.148388037	-0.524305007	-1.196612511	-0.74904957
AT5G43290	0.184323664	-0.723617172	-4.810822165	0.1499778	-2.02797485	-4.601713511	-0.689937448	-4.116672633	-4.769116074
AT5G43300	0.446854928	-0.292095699	-2.414104529	4.05E-05	-0.530974285	-2.674361863	0.179337791	-1.538091723	-1.449670076
AT5G43380	0.358204652	-0.231635484	-0.189855016	0.2806399	-0.273422131	0.738946002	0.448725836	0.291753015	1.020504057
AT5G43403	0.71374072	0.774821351	0.479859884	0.7039206	0.804612461	0.584317552	0.507596339	1.055809283	0.901913181
AT5G43410	0	3.447346678	5.864583359	0	6.394408054	6.373066821	0	7.517326738	6.501020062
AT5G43420	-0.093590276	1.023763233	0.764183023	-0.0734318	1.284294412	0.180729303	0.048989981	0.64578381	0.228802841
AT5G43440	0.573525846	2.407498669	-0.373960849	0.6947676	1.542626622	-0.138247009	0.400457621	1.861911867	0.171269605
AT5G43450	0.170498202	1.885224417	0.867802044	0.5617975	1.196956982	-0.168154725	0.702560408	0.059806909	-0.331027041
AT5G43520	-1.155697632	-0.680766901	0.669628621	-0.9167387	-0.258338276	-0.880558192	-0.501728514	-0.63675613	0.239355878
AT5G43620	-0.075885285	-0.023397986	0.241811554	0.1694351	0.224784618	0.147596421	0.084876386	0.173954257	1.074368096
AT5G43650	0.603976903	3.143397235	7.390266212	4.189287	5.085881935	4.647529195	-0.299360319	2.664925396	5.6102547
AT5G43690	-0.359365899	-0.628050725	-0.210489376	0.1761534	-0.326079542	-1.200455591	-0.000818748	-0.614327937	-0.294248137
AT5G43745	0.049782202	-0.681535966	-0.596001624	-0.1779017	-1.049388702	-0.836975857	-0.106045702	-1.310916722	-0.886584799
AT5G43750	-0.059095977	-0.686028415	-1.440119121	-0.098559	-1.265745574	-1.626751679	0.03204963	-1.687522346	-1.119240842
AT5G43860	1.933928605	1.695109698	1.936912484	2.351438	2.270694052	2.18725157	2.054635161	1.387993729	1.620406535
AT5G43870	-0.01571817	-0.542562777	-0.984211093	0.1986536	-1.243540827	-0.9040475	0.100803862	-1.394975273	-0.597258027
AT5G43890	-0.152294138	0.075809267	-1.258331223	-0.2168228	-0.590580736	-1.008576309	0.217394656	-0.401598275	-1.106036775
AT5G43910	-0.169882122	1.003749759	1.041136954	-0.324029	0.734226412	0.789294531	-0.056785421	0.083316821	0.575913776
AT5G43980	1.19134228	3.072943919	3.582777584	1.414553	4.024915383	3.841333775	1.245352955	3.786389341	3.482290027
AT5G44005	-0.427774289	-1.136702254	-1.896539894	-0.2829181	-1.302040754	-1.083353182	0.286685048	-0.805661928	-0.762943542
AT5G44020	-0.753589697	-0.989146858	-0.732647786	-0.6224626	-1.713117866	-1.319382542	-0.496584221	-1.85154339	-0.67292206
AT5G44030	-0.639005595	-0.759220254	-0.612127672	-0.5397381	-0.754642706	-0.891760295	-0.26976209	-0.690583699	-1.081397002
AT5G44050	0.062165078	-2.045653739	-0.264318962	-0.4326866	-1.910582019	-0.777414189	-0.674156525	-1.918747196	-0.511613299
AT5G44070	-0.263532506	1.895667832	0.624226734	-0.2372039	1.689176869	0.235518944	-0.070750402	1.119767772	0.358142564
AT5G44110	-0.419552885	-0.586765009	-0.530740721	-0.352276	-1.284115496	-1.24162365	-0.446249085	-1.358817011	-1.182527666
AT5G44130	-0.447824883	-1.337175007	-0.410824279	-0.3849794	-2.168174879	-1.213348625	-0.378373742	-2.667069369	-0.805233471
AT5G44190	-0.307860783	-0.447065544	-0.943440034	-0.1880608	-0.749576012	-1.09238715	-0.244909583	-1.144076827	-0.601793906
AT5G44240	0.374987504	1.076808668	0.757240512	0.4100193	1.106386822	0.674238705	0.1909228	1.156218577	0.660789281
AT5G44260	-0.374857539	0.02040629	-0.317743404	-0.03842298	0.045089133	0.009897702	0.211334206	1.09282831	-1.118147519
AT5G44380	-1.191277911	0.332130263	0.546512665	-0.9496759	0.276443056	-0.62351043	-0.773353212	-0.064800352	-0.110139078
AT5G44390	-0.219627473	1.394546089	1.689951369	-0.4823682	1.501787847	0.764448244	-0.41613717	0.29222614	0.424921929
AT5G44410	-0.180150729	-0.749178456	-1.262874486	-0.08274954	-1.430032945	-0.90205664	-0.115173815	-1.568551092	-0.59113011
AT5G44420	-1.647261935	-1.500996539	3.20005206	-1.444938	-4.811435387	0.226076154	0.192332501	-3.986526976	0.63460188
AT5G44520	0.064053558	-0.55662926	-1.12270104	-0.1470224	-1.124854696	-0.862356692	-0.016934042	-1.268213787	-0.4797514
AT5G44550	-1.287203254	-0.770280338	0.283191454	-0.9141362	-0.687124741	-1.188042793	-1.063877546	-0.928622845	0.271299459
AT5G44565	0.081986093	0.275772518	3.299396758	-0.4529484	0.480182836	2.578952796	-0.335835609	0.879996183	3.696752927
AT5G44568	-1.497511819	3.049188694	2.042671993	-1.871927	1.966187967	0.73752146	-1.404051447	0.436593249	0.949631235
AT5G44572	-1.299683523	0.721546946	0.225347556	-1.114238	0.407557697	-0.607172571	-1.031062066	-1.744723874	-1.122146491
AT5G44574	-0.750268768	1.357073899	0.130605303	-0.588863	0.279986949	-0.452903773	-1.110219674	-0.697179462	-0.009466052
AT5G44575	-1.27844755	0.33865959	-0.934517447	-1.28297	0.121640445	-3.177992463	-0.262382025	-2.465090567	-3.349522121
AT5G44580	-0.241807307	0.099030227	-0.393754217	-0.4288046	-0.376000611	-0.576595216	-0.42134479	-1.22655662	-0.057607854
AT5G44582	-0.080732583	1.322734428	0.148566495	-0.265224	0.895257339	-0.061443002	-0.122235774	0.842008414	-0.028534745
AT5G44585	-2.043090976	2.867865134	-0.863816263	-2.539784	2.023206851	-1.17869693	-1.651516925	0.564725005	-1.802859836
AT5G44610	-1.406520741	-1.23890605	-0.038413074	-0.2542185	-1.592160915	-1.381456184	-0.696792331	-1.52629357	-1.107802061
AT5G44650	0.006807335	-0.279740767	-0.626662832	0.01620965	-0.856173508	-0.63387172	-0.000812028	-1.075833061	-0.252873773
AT5G44670	0.066720869	-0.942348809	-0.748504357	0.0946238	-1.185203841	-0.941756035	-0.128683801	-0.99018304	-0.569293111
AT5G44680	-0.381573862	-0.616411351	-1.827991841	-0.3190369	-1.274629166	-1.562339233	-0.394478655	-1.53552791	-0.765750926
AT5G44700	-0.20476594	-0.025248936	0.036243916	-0.1035626	0.098905821	-1.169200594	-0.146248327	0.208549537	-0.172481444
AT5G44820	0.109162365	2.525617053	2.886823905	-0.1857942	2.088047849	2.59420951	-0.492962606	1.493034846	2.53766848
AT5G44870	-0.023466512	1.030041505	0.571253878	-0.01499037	0.836519324	0.590643275	0.069362689	0.73711811	0.617340651
AT5G44900	-1.833228145	0.196653016	-0.124962295	-1.761113	-0.939704855	-1.263533202	-1.020249897	-0.597680273	-0.039774037
AT5G44920	-0.175260934	0.452030779	0.395290506	0.1752006	0.949359629	0.118479785	0.06467498	1.120129089	0.475380115
AT5G44980	0.653650354	1.265001409	1.899008324	-0.3520001	1.276042803	2.022081236	-0.132760811	1.236082003	1.940454599
AT5G44990	3.83320147	7.896378277	7.805472575	2.621826	8.158246379	8.209680768	3.626124758	7.623160395	7.487550701
AT5G45000	-0.534101781	2.429660221	2.688621921	-0.6703374	2.851718828	2.637959577	-0.231434155	2.553084527	2.728528671
AT5G45040	-0.078026561	-0.972434291	-1.168540058	-0.5690492	-1.139480816	-0.633102001	-0.249292747	-1.045415428	-0.913988184
AT5G45080	0.445377105	1.393654132	1.500368538	0.795635	1.238614199	2.444828812	0.076059724	0.580362798	2.736127701
AT5G45090	0.124052774	5.996952475	4.367178821	-0.41355	6.965746981	5.563752851	0.325364061	6.275744357	5.669702557
AT5G45100	0.567611047	0.963804216	1.009006815	0.9748844	1.309275656	1.170551931	0.176253491	1.195790897	1.0494444
AT5G45110	0.536448946	1.922603583	1.731003396	0.5328997	1.84941557	2.025053944	0.512516087	1.983221657	2.194174497
AT5G45130	0.340651597	1.019434023	0.783232982	0.3336587	1.181728817	0.720209734	0.258739098	1.260029082	0.667490458
AT5G45200	0.198006578	-0.799472791	-0.282061329	0.3784429	-1.285895721	-1.554668999	-0.739792411	-0.62264378	-0.535729781
AT5G45210	-0.575430485	-0.855757717	-0.61312774	-0.8946317	-1.376356133	-1.337685089	-1.05248087	-1.4746714	-1.338794041
AT5G45240	-1.340671606	1.600700559	-0.188299209	-4.030578	1.5878911	0.745921148	-3.109432655	3.445268956	1.065714641
AT5G45250	0.14995466	0.940797207	0.901458315	0.335079	1.239484258	0.788988217	0.140135444	1.013708376	0.534450162
AT5G45280	-0.421754654	-0.762824248	0.70400275	-0.9393911	-1.061725716	-0.186677185	-0.98401737	-0.345464617	0.163491718
AT5G45310	1.326381805	-0.889222707	-2.209167155	-1.414496	-1.485563046	-1.585102088	-0.667289062	0.321997969	-1.478121246
AT5G45370	0.30535713	1.077354137	0.595233472	0.203347	0.71649433	0.41217182	0.03093819	0.87692466	0.909930015
AT5G45410	0.051972057	0.43497673	1.134441114	0.07268125	0.694793478	0.539313768	0.09166721	0.735958757	0.508635267
AT5G45470	-0.181854251	0.723298683	1.079731244	-0.3422993	0.492443259	0.81301926	-0.395300096	0.171199222	0.878501259
AT5G45500	-0.166157193	1.153203191	0.836830783	-0.07555988	1.178205992	0.497645698	-0.115729633	0.621276554	0.652580361
AT5G45510	-0.231715281	1.009558854	1.143500897	0.002800571	1.012319026	0.786600646	-0.179787799	0.540286495	0.771710584
AT5G45520	-0.222306621	-0.191391179	0.317854538	-0.2019793	-0.001328864	1.55672625	0.135464641	0.291834093	0.810020914
AT5G45580	0.222214467	-0.007776981	-0.172839836	0.2528492	-1.091495837	-0.743567411	-0.261172505	-0.415082802	0.291516742
AT5G45630	2.486332361	4.247366469	4.515218587	2.949167	2.294913407	2.13945438	3.86460511	3.858033361	3.449607127
AT5G45650	-0.420330017	-1.47702411	-0.989444931	-0.5232027	-2.32474598	-1.606660463	-1.036787621	-2.679771391	-0.699938989
AT5G45680	0.350503378	-0.360890099	-1.730849606	-0.4455712	-1.334628754	-1.321689338	0.028485696	-1.668060061	-0.665747297
AT5G45720	0.386679123	-0.937020172	-0.650160927	0.3885338	-1.295417731	-0.635128025	0.035986864	-1.155901896	-0.720191943
AT5G45810	-0.157402656	-0.65081185	-1.026326587	0.106644	-1.094912421	-1.165843314	0.193779346	-1.115289302	-0.59625675
AT5G45820	-0.244727765	-0.102081678	-1.867042886	0.07830333	-2.198650543	-1.436549672	0.012682332	-1.830859023	-0.133563368
AT5G45830	-0.208870073	-0.542919731	-1.74013227	0.6697693	-1.781395595	-1.322990484	0.004739784	0.185847582	-0.67896292
AT5G45850	0.496699034	-1.172079971	-0.184633057	-1.30844	-1.631702084	-0.111973739	-0.935280067	-1.456550659	-0.256791488
AT5G45930	0.188688888	-0.649969634	-1.439465683	-0.1701661	-1.115809761	-1.016626105	0.068672295	-1.359270287	-0.646576179
AT5G45950	-0.166852972	-1.162930895	-1.331034092	-0.470783	-1.785343349	-0.910505161	-0.610498842	-1.994706022	-0.79955193
AT5G45960	0.074263137	-0.486833298	-0.37201083	-0.2665966	-0.41009921	-0.29334793	-0.377458462	-1.262003018	-0.530507654
AT5G46050	-0.93436607	2.204702874	0.755558646	-1.289905	2.026821822	0.007136374	-0.802426157	-0.071851101	-0.160496682
AT5G46060	-0.013528803	-0.072258799	-0.421457842	0.2259945	-1.163472856	-0.962063787	-0.180907308	0.009117333	-1.108121806
